Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_hand_base,0.000590322130425508,4.41124716199504E-08,0.018658174252011,0,0,0,0.0816272431941728,2.75104643743656E-05,5.1239352366421E-11,3.17182009921747E-08,2.64222033522155E-05,-9.18935840579926E-12,3.62935316168478E-05,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_hand_base.STL,1,1,1,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_hand_base.STL,,镜向法兰franka_1-2,left_hand_base,,,,,,,,,,,,,,,,,,,,,,,,,
left_hand_palm,0.00508426712638,-0.000665074443788383,0.065735027025566,0,0,0,0.261671120187388,0.000304195079169797,-3.14681653505117E-06,-2.15984298789904E-05,0.000241324380772173,2.90699019998472E-06,0.000102222271620015,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_hand_palm.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_hand_palm.STL,,镜向手掌R_1-2,left_hand_palm,Axis_left_hand_palm_joint,left_hand_palm_joint,fixed,0,0,0.0295,0,0,0,left_hand_base,0,0,0,,,,,,,,,,,,
left_thumb_yaw,0.000851891383030774,-0.00483573175773916,-0.00574146645894136,0,0,0,0.00481739894285163,1.77884271480388E-07,1.48522080685373E-08,-1.10224294372931E-09,9.58668288233385E-08,-5.57762939809773E-11,1.65931166990387E-07,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_thumb_yaw.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_thumb_yaw.STL,,镜向拇指支座齿轮_1-2,t_1,t_a_1,left_thumb_yaw_joint,revolute,0.0210000000002171,-0.0216986946883705,0.042249995515378,0,0,0,left_hand_palm,0,0,1,1,2,0,1.9198622,,,,,,,,
left_thumb_mcp,-0.0251945178412399,0.00470177554341608,-0.00721123225273899,0,0,0,0.0417558487107307,4.59982517502002E-06,1.45476527663314E-06,-5.57455414219361E-09,6.84084011018762E-06,6.02057975740763E-09,8.65410202531359E-06,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_thumb_mcp.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_thumb_mcp.STL,,镜向零件9^AAAA_1-2,t_2,t_a_2,left_thumb_mcp_joint,revolute,0.00841863742828262,-0.0101929731187442,-0.0102203745148108,1.74532925199434,0,1.74532925199433,left_thumb_yaw,0,0,-1,1,2,0,0.6108652,,,,,,,,
left_thumb_pip,-0.019640767057022,0.002423800874477,-0.0109191513474222,0,0,0,0.0413815384223489,4.96860664780241E-06,1.31917592849345E-06,-8.87180077948823E-09,6.85470350393896E-06,4.36126634612684E-09,8.67826738800229E-06,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_thumb_pip.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_thumb_pip.STL,,镜向零件8^AAAA_1-2,t_3,t_a_3,left_thumb_pip_joint,revolute,-0.0437274381780305,0.0174897274682983,0.0036000000001809,0,0,0,left_thumb_mcp,0,0,-1,1,2,0,1.041888,,,,,,,,
left_thumb_dip,-0.0129043925604203,-0.00449480092552032,-0.00799761288534183,0,0,0,0.00736945832595974,4.78696478104764E-07,3.76273113670987E-08,1.13126573423613E-10,8.04988375744263E-07,-8.24599730063336E-11,8.2857350420253E-07,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_thumb_dip.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_thumb_dip.STL,,镜向零件7^AAAA_1-2,t_4,t_a_4,left_thumb_dip_joint,revolute,-0.0364265693525386,0.0199016675851802,-0.0028000000000062,0,0,0,left_thumb_pip,0,0,-1,1,2,0,0.9424778,,,,,,,,
left_thumb_force_sensor,1.76192454777041E-05,0.00567387781792844,-0.00560731476529619,0,0,0,0.000853200311539082,4.02788229660987E-08,6.55720177813636E-12,5.10952237580482E-12,1.83855377249768E-08,9.36554041256176E-09,5.10562101175832E-08,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_thumb_force_sensor.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_thumb_force_sensor.STL,,镜向Aa指尖触觉002020_1-9,t_f_1,Axis_left_thumb_force_sensor_joint,left_thumb_force_sensor_joint,fixed,-0.0253431804223684,0.00728216923716192,-0.00799988083785632,1.35354409806451,-1.57052831054583,-2.74973855301869,left_thumb_dip,0,0,0,,,,,,,,,,,,
left_thumb_tip,2.91193923675215E-07,0.000263351051108363,-0.000541817086124163,0,0,0,5.22832022806146E-06,4.49345290486902E-12,1.38198653097067E-15,1.11439826562586E-15,2.37147707649611E-12,9.89741626475255E-14,5.5925476559515E-12,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_thumb_tip.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_thumb_tip.STL,,零件9^064总装左手_1-1,t_f_d,Axis_left_thumb_tip_joint,left_thumb_tip_joint,fixed,0,-0.00792351475279368,-0.00365714256024438,1.39619444739455,-5.77701674825088E-05,0.000261716101683203,left_thumb_force_sensor,0,0,0,,,,,,,,,,,,
left_index_yaw,-1.11022302462516E-16,2.08166817117217E-17,-0.00449999999999999,0,0,0,0.00153498446842143,4.00076216143908E-09,7.09292134471538E-23,1.02278735147252E-23,4.61099104658358E-08,-1.5742271566319E-24,4.79547455160275E-08,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_index_yaw.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_index_yaw.STL,,064轴承安装架99064001-0428-1,i_1,i_a_1,left_index_yaw_joint,revolute,0.015599999999991,-0.03324870299138,0.12225370411454,1.5707963267949,0,1.5707963267949,left_hand_palm,0,0,-1,1,2,-0.26118,0.26118,,,,,,,,
left_index_mcp,-0.00111234936674564,0.0237468971083415,-0.0112260350992284,0,0,0,0.0128247688591287,1.46139439522669E-06,-1.66361866651118E-07,5.73065973259583E-08,7.30017882489325E-07,7.21330673569885E-09,1.87059716120629E-06,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_index_mcp.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_L/meshes/left_index_mcp.STL,,新版食指根部-1,i_2,i_2_a,left_index_mcp_joint,revolute,-0.0114000000000001,0,-0.00449999999999999,3.14159265358979,-1.5707963267949,3.14,left_index_yaw,0,0,-1,1,2,0,1.3089969,,,,,,,,
