Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_hand_base,0.000590324230515735,-4.41066235895571E-08,0.018658168492136,0,0,0,0.0816272765426702,2.75104686550082E-05,-4.85912163791786E-11,3.17186486652321E-08,2.64222243265588E-05,1.09459930565619E-11,3.6293548175617E-05,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_hand_base.STL,1,1,1,1,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_hand_base.STL,,法兰franka_1-1,right_hand_base,,,,,,,,,,,,,,,,,,,,,,,,,
right_hand_palm,0.00507125568670492,0.000620017221916229,0.0956109997992984,0,0,0,0.261109888918733,0.000301182814598395,3.17995911128021E-06,-2.1510224496854E-05,0.000238695593099295,-2.01056810911847E-06,0.000101825568194148,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_hand_palm.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_hand_palm.STL,,手掌R_1-1,right_hand_base,,right_hand_palm_joint,fixed,0,0,0,0,0,0,right_hand_base,0,0,0,,,,,,,,,,,,
right_thumb_yaw,0.000851897283662761,0.00483571971174276,-0.00574141841695078,0,0,0,0.00481735450280768,1.77883416432453E-07,-1.48523487903374E-08,-1.10223746267111E-09,9.58659671745105E-08,5.54372476859044E-11,1.65931218249892E-07,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_thumb_yaw.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_thumb_yaw.STL,,拇指支座齿轮_1-1,t_1,t_a_1,right_thumb_yaw_joint,revolute,0.021,0.021699,0.07225,0,0,0,right_hand_palm,0,0,-1,1,2,0,1.9198622,,,,,,,,
right_thumb_mcp,0.0251946125741523,0.00470162547176872,-0.00721129474222341,0,0,0,0.041756071151766,4.59979341745295E-06,-1.45470106880432E-06,5.58870630907465E-09,6.84088254134631E-06,6.02428036010552E-09,8.65411062665035E-06,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_thumb_mcp.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_thumb_mcp.STL,,零件9^AAAA_1-1,t_2,t_a_2,right_thumb_mcp_joint,revolute,0.0084186,0.010193,-0.01022,1.7453,0,1.3963,right_thumb_yaw,0,0,1,1,2,0,0.6108652,,,,,,,,
right_thumb_pip,0.019640864576423,0.00242395573987954,-0.0109191426787671,0,0,0,0.0413809633402248,4.96850464966812E-06,-1.31907241627235E-06,8.88959993924884E-09,6.85457643250907E-06,4.37339590314179E-09,8.67807228569467E-06,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_thumb_pip.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_thumb_pip.STL,,零件8^AAAA_1-1,t_3,t_a_3,right_thumb_pip_joint,revolute,0.043727,0.01749,0.0036,0,0,0,right_thumb_mcp,0,0,1,1,2,0,1.041888,,,,,,,,
right_thumb_dip,0.0129223705541452,-0.00448868514595851,-0.00799774428292964,0,0,0,0.00737636136031025,4.78965075360936E-07,-3.84624380628832E-08,-9.99847610195398E-11,8.07508502456021E-07,-7.9139405536934E-11,8.31353144341822E-07,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_thumb_dip.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_thumb_dip.STL,,零件7^AAAA_1-1,t_4,t_a_4,right_thumb_dip_joint,revolute,0.036427,0.019902,-0.0028,0,0,0,right_thumb_pip,0,0,1,1,2,0,0.9424778,,,,,,,,
right_thumb_force_sensor,1.4186055948438E-05,-0.00565480686323223,-0.00560251341375994,0,0,0,0.000820057364670789,3.88211249872824E-08,-9.63433399290458E-12,8.33518639927175E-13,1.76470617250222E-08,-9.0071851678727E-09,4.91659082889914E-08,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_thumb_force_sensor.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_thumb_force_sensor.STL,,Aa指尖触觉002020_1-5,t_f_1,,right_thumb_force_sensor_joint,fixed,0.0253431804223682,0.00728216923716289,-0.00799988083776613,-1.25460186708025,-1.5705209595376,-0.490796335200502,right_thumb_dip,0,0,0,,,,,,,,,,,,
right_thumb_tip,-3.82725870859413E-06,0.00025821256993316,-0.000276799678417108,0,0,0,2.07888377193755E-06,2.15542638565836E-13,1.72423766115058E-16,8.46703331410433E-15,7.62491414722723E-13,1.23984302658416E-14,8.27738183226601E-13,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_thumb_tip.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_thumb_tip.STL,,,,,right_thumb_tip_joint,fixed,0,0.007884,-0.0036694,1.339,-0.0030926,3.1279,right_thumb_force_sensor,0,0,0,,,,,,,,,,,,
right_index_yaw,0,-6.93889390390723E-18,5.20417042793042E-18,0,0,0,0.00153498446842142,4.00076216143907E-09,6.303382641719E-23,-9.57653989592479E-24,4.61102404938453E-08,2.46726229342685E-11,4.79544154880163E-08,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_index_yaw.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_index_yaw.STL,,064轴承安装架99064001-0428-1,i_2,i_a_2,right_index_yaw_joint,revolute,0.0111,0.033249,0.15225,1.5842,0,1.5708,right_hand_palm,0,0,1,1,2,-0.26118,0.26118,,,,,,,,
right_index_mcp,-0.00111234919858527,0.023746901532495,0.0115739649260122,0,0,0,0.0128247691163396,1.46139438384275E-06,-1.66361860827506E-07,5.73065974807899E-08,7.300179043556E-07,7.2133053532142E-09,1.8705971687562E-06,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_index_mcp.STL,0.25,0.25,0.25,1,0,0,0,0,0,0,package://RH5DG2_R/meshes/right_index_mcp.STL,,新版食指根部-1,i_1,i_a_1,right_index_mcp_joint,revolute,0.0114,0,0,-1.5708,-1.5574,1.5708,right_index_yaw,0,0,-1,1,2,0,1.3089969,,,,,,,,
