link部分,link命名,质量,质心x,质心y,质心z,惯量ixx,惯量ixy,惯量ixz,惯量iyy,惯量iyz,惯量izz,,,,,,,,
下半身,pelvis,11.09264,0.000058,0.000357,-0.054446,0.07166,-0.000356,-0.002017,0.065195,0.000097,0.049883,,,,,,,,
左腿,hip_pitch_l_link,2.427595,0.009137,0.070235,-0.024662,0.00525,-0.000103,0.000064,0.003734,0.000156,0.003966,,,,,,,,
,hip_roll_l_link,0.578439,-0.002953,-0.000095,-0.037153,0.001108,0.000003,0.00004,0.001818,-0.000001,0.001505,,,,,,,,
,hip_yaw_l_link,5.766953,0.001274,-0.023741,-0.132464,0.047987,-0.000286,-0.000443,0.0454,-0.00214,0.015312,,,,,,,,
,knee_pitch_l_link,3.14544,0.024736,0.000774,-0.150638,0.032343,-0.000047,-0.001178,0.032448,-0.000677,0.003699,,,,,,,,
,ankle_pitch_l_link,0.122342,0,0,0,0.000038,0,0,0.000025,0,0.000018,,,,,,,,
,ankle_roll_l_link,0.826437,0.025067,0.000002,-0.033303,0.000702,0,0.000201,0.004499,0,0.00479,,,,,,,,
右腿,hip_pitch_r_link,2.427595,0.009137,-0.070235,-0.024662,0.00525,0.000103,0.000064,0.003734,-0.000156,0.003966,,,,,,,,
,hip_roll_r_link,0.578439,-0.002953,0.000095,-0.037153,0.001108,-0.000003,0.00004,0.001818,0.000001,0.001505,,,,,,,,
,hip_yaw_r_link,5.766953,0.001274,0.023741,-0.132464,0.047987,0.000286,-0.000443,0.0454,0.00214,0.015312,,,,,,,,
,knee_pitch_r_link,3.14544,0.024736,-0.000774,-0.150638,0.032343,0.000047,-0.001178,0.032448,0.000677,0.003699,,,,,,,,
,ankle_pitch_r_link,0.122342,0,0,0,0.000038,0,0,0.000025,0,0.000018,,,,,,,,
,ankle_roll_r_link,0.826437,0.025067,-0.000002,-0.033303,0.000702,0,0.000201,0.004499,0,0.00479,,,,,,,,
腰,waist_yaw_link,2.135803,-0.001865,-0.000919,0.038314,0.00317,-0.000064,0.000201,0.003374,0.000084,0.00233,,,,,,,,
,waist_roll_link,3.894484,-0.007689,-0.005293,0.069696,0.015903,0.000774,0.000017,0.008878,0.000087,0.016296,,,,,,,,
,waist_pitch_link,9.973084,-0.004236,0.001466,0.18249,0.157779,-0.000188,0.002657,0.120648,0.000217,0.094423,,,,,,,,
头部,head_yaw_link,1.057204,0.013079,-0.000325,0.024349,0.002048,0.00006,-0.000057,0.001827,0.00005,0.002642,,,,,,,,
,head_pitch_link,0.077424,-0.002436,0.002451,-0.000046,0.000092,0.000002,0,0.000024,0,0.000086,,,,,,,,
左臂,shoulder_pitch_l_link,0.967698,0.004116,0.061287,-0.000026,0.000726,-0.000031,-0.000001,0.001028,0,0.00128,,,,,,,,
